Team,Opponent,Rank,Site,TV,Attendance,Current Wins,Current Losses,Stadium Capacity,Fill Rate,New Coach,Tailgating,PRCP,SNOW,SNWD,TMAX,TMIN,Opponent_Rank,Conference,conference_game,isRanked,Win,Team_Score,Opp_Score,OT,Special,GD,DateTime,Year,State,Region,OppisRanked
NC State,Arkansas State,99,"CarterFinley StadiumRaleigh, North Carolina",,46973,0,0,51500,0.912097087,1,0,0.34,0.0,0.0,84,72,99,ACC,1,0,1,38,31,2,0,0,2000-09-02 19:00:00,2000,SC,S,0
Arkansas,Southwest Missouri State,99,"War Memorial StadiumLittle Rock, AR",,53946,0,0,53727,1.004076163,0,0,0.0,0.0,0.0,105,65,99,SEC,1,0,1,38,0,0,0,0,2000-09-02 20:00:00,2000,AR,S,0
SMU,Arkansas,99,"Cotton BowlDallas, TX",1,51019,0,0,92100,0.553952226,0,0,0.0,0.0,0.0,109,80,99,WAC,1,0,0,0,26,0,0,0,2000-09-04 19:00:00,2000,TX,S,0
Michigan State,Marshall,24,"Spartan StadiumEast Lansing, MI",1,72983,0,0,72027,1.0132728000000002,1,1,0.0,0.0,0.0,81,68,99,Big-10,1,1,1,34,24,0,0,0,2000-09-09 12:00:00,2000,MI,W,0
Penn State,Louisiana Tech,99,"Beaver StadiumUniversity Park, PA",1,94555,0,2,93967,1.006257516,0,1,0.0,0.0,0.0,79,54,99,Big-10,1,0,1,67,7,0,0,0,2000-09-09 12:00:00,2000,PA,N,0
Northwestern,Duke,99,"Ryan FieldEvanston, IL",,23209,1,0,47130,0.492446425,0,0,0.03,0.0,0.0,85,64,99,Big-10,1,0,1,38,5,0,0,0,2000-09-09 12:00:00,2000,IL,M,0
Indiana,NC State,99,"Memorial StadiumBloomington, IN",1,30151,0,0,52324,0.576236526,0,0,0.0,0.0,0.0,79,66,99,Big-10,1,0,0,38,41,0,0,0,2000-09-09 12:00:00,2000,IN,M,0
Iowa State,UNLV,99,"Jack Trice StadiumAmes, IA",,35408,1,0,43000,0.82344186,0,0,0.0,0.0,0.0,89,66,99,Big-12,1,0,1,37,22,0,0,0,2000-09-09 13:00:00,2000,IA,M,0
Wisconsin,Oregon,5,"Camp Randall StadiumMadison, WI",1,78521,1,0,76129,1.031420352,0,1,0.0,0.0,0.0,83,64,99,Big-10,1,1,1,27,23,0,0,0,2000-09-09 14:30:00,2000,WI,M,0
Notre Dame,Nebraska,23,"Notre Dame StadiumSouth Bend, IN",1,80232,1,0,80232,1.0,0,1,0.09,0.0,0.0,83,68,1,Independent,0,1,0,24,27,1,0,0,2000-09-09 14:30:00,2000,IN,M,1
California,Utah,99,"California Memorial StadiumBerkeley, CA",1,44500,0,0,75028,0.593111905,0,0,0.0,0.0,0.0,76,53,99,Pac-12,1,0,1,24,21,0,0,0,2000-09-09 15:15:00,2000,CA,W,0
Virginia,Richmond,99,"Scott StadiumCharlottesville, VA",,50285,0,1,61500,0.817642276,0,0,0.0,0.0,0.0,81,62,99,ACC,1,0,1,34,6,0,0,0,2000-09-09 15:30:00,2000,VA,S,0
Clemson,Missouri,17,"Memorial StadiumClemson, SC",1,70382,1,0,81473,0.863869012,0,1,0.0,0.0,0.0,81,67,99,ACC,1,1,1,62,9,0,0,0,2000-09-09 15:30:00,2000,SC,S,0
UCLA,Fresno State,16,"Rose BowlPasadena, CA",1,45605,1,0,92542,0.49280326799999996,0,0,0.0,0.0,0.0,82,59,99,Pac-12,1,1,1,24,21,0,0,0,2000-09-09 16:30:00,2000,CA,W,0
USC,Colorado,11,"Los Angeles Memorial ColiseumLos Angeles, CA",1,65153,1,0,92000,0.708184783,0,1,0.0,0.0,0.0,73,61,99,ACC,1,1,1,17,14,0,0,0,2000-09-09 17:00:00,2000,CA,W,0
Texas A&M,Wyoming,99,"Kyle FieldCollege Station, TX",1,69273,0,1,80650,0.858933664,0,1,0.16,0.0,0.0,96,74,99,Big-12,1,0,1,51,3,0,0,0,2000-09-09 18:00:00,2000,TX,S,0
Rutgers,Buffalo,99,"Rutgers StadiumPiscataway, New Jersey",,26511,1,0,41500,0.6388192770000001,0,0,0.0,0.0,0.0,78,51,99,AAC,1,0,1,59,0,0,0,0,2000-09-09 18:00:00,2000,NJ,N,0
UCF,Northwestern State,99,"Citrus BowlOrlando, FL",,19003,0,1,65438,0.290397017,0,0,0.06,0.0,0.0,82,77,99,Independent,0,0,1,19,7,0,0,0,2000-09-09 18:00:00,2000,FL,S,0
Hawaii,Portland State,99,"Aloha StadiumHonolulu, HI",,50000,0,0,50000,1.0,0,0,0.0,0.0,0.0,88,76,99,WAC,1,0,0,20,45,0,0,0,2000-09-09 18:00:00,2000,HI,O,0
Ole Miss,Auburn,19,"VaughtHemingway StadiumOxford, Mississippi ",1,52368,1,0,50577,1.035411353,0,1,0.05,0.0,0.0,73,67,99,SEC,0,1,0,27,35,0,1,0,2000-09-09 18:00:00,2000,MS,S,0
New Mexico,Oregon State,99,"University StadiumAlbuquerque, NM",,30830,0,2,31218,0.9875712729999999,0,0,0.0,0.0,0.0,90,52,99,MWC,1,0,0,20,28,0,0,0,2000-09-09 18:05:00,2000,NM,W,0
Northern Illinois,Illinois State,99,"Huskie StadiumDeKalb, IL",,24682,0,1,31000,0.796193548,0,0,0.0,0.0,0.0,86,64,99,Mid-American,1,0,1,52,0,0,0,0,2000-09-09 18:30:00,2000,IL,M,0
Oklahoma,Arkansas State,20,"Oklahoma Memorial StadiumNorman, OK",1,74730,1,0,72765,1.0270047409999998,0,1,0.0,0.0,0.0,93,69,99,Big-12,1,1,1,45,7,0,0,0,2000-09-09 18:30:00,2000,OK,S,0
San Diego State,Illinois,99,Qualcomm StadiumSan Diego,1,26779,0,1,54000,0.495907407,0,0,0.0,0.0,0.0,74,61,21,MWC,1,0,0,13,49,0,0,0,2000-09-09 19:00:00,2000,CA,W,1
Toledo,Weber State,99,"Glass BowlToledo, OH",,32726,1,0,26248,1.246799756,0,0,0.0,0.0,0.0,83,66,99,Mid-American,1,0,1,51,0,0,0,0,2000-09-09 19:00:00,2000,OH,M,0
Memphis,Louisiana Monroe,99,"Liberty Bowl Memorial StadiumMemphis, Tennessee",,20801,0,1,62921,0.330589151,0,0,0.0,0.0,0.0,82,69,99,CUSA,1,0,1,28,0,0,0,0,2000-09-09 19:00:00,2000,TN,S,0
Boise State,Northern Iowa,99,"Bronco StadiumBoise, ID",,26490,1,0,30000,0.883,0,0,0.0,0.0,0.0,67,44,99,WAC,1,0,1,42,17,0,0,0,2000-09-09 19:00:00,2000,ID,W,0
UTEP,SMU,99,"Sun Bowl StadiumEl Paso, Texas",,31483,0,1,51500,0.611320388,1,0,0.0,0.0,0.0,95,71,99,WAC,0,0,1,37,20,0,0,0,2000-09-09 19:05:00,2000,TX,S,0
Arizona,Ohio State,99,"Arizona StadiumTucson, AZ",1,57367,1,0,56002,1.0243741290000001,0,0,0.0,0.0,0.0,100,73,18,Pac-12,1,0,0,17,27,0,0,0,2000-09-09 19:15:00,2000,AZ,W,1
Georgia Tech,Florida State,99,Bobby Dodd StadiumAtlanta,1,46381,1,0,43719,1.060888858,0,0,0.09,0.0,0.0,83,68,2,ACC,0,0,0,21,26,0,0,0,2000-09-09 20:00:00,2000,GA,S,1
Illinois,California,19,"Memorial StadiumChampaign, IL",1,50181,2,0,70904,0.7077315809999999,0,0,0.05,0.0,0.0,75,57,99,Big-10,1,1,1,17,15,0,0,0,2000-09-14 11:00:00,2000,IL,M,0
BYU,Mississippi State,99,"Cougar StadiumProvo, Utah",1,60278,1,2,65000,0.9273538459999999,0,0,0.0,0.0,0.0,95,55,99,MWC,1,0,0,28,44,0,0,0,2000-09-14 18:00:00,2000,UT,W,0
Baylor,Minnesota,99,"Floyd Casey StadiumWaco, Texas",1,20125,1,0,50000,0.4025,0,0,0.0,0.0,0.0,89,60,99,Big-12,1,0,0,9,34,0,0,0,2000-09-16 11:30:00,2000,TX,S,0
West Virginia,Maryland,99,"Mountaineer FieldMorgantown, West Virginia ",1,53007,1,0,63500,0.8347559059999999,0,0,0.06,0.0,0.0,61,41,99,WAC,1,0,1,30,17,0,1,0,2000-09-16 12:00:00,2000,VA,S,0
UCLA,Michigan,14,"Rose BowlPasadena, CA",1,88044,2,0,92542,0.951395042,0,0,0.0,0.0,0.0,94,64,3,Pac-12,1,1,1,23,20,0,0,0,2000-09-16 12:30:00,2000,CA,W,1
Clemson,Wake Forest,16,"Memorial StadiumClemson, SC",,72940,2,0,81473,0.8952659159999999,0,1,0.0,0.0,0.0,86,48,99,ACC,0,1,1,55,7,0,0,0,2000-09-16 13:00:00,2000,SC,S,0
Wisconsin,Cincinnati,4,"Camp Randall StadiumMadison, WI",,78749,2,0,76129,1.0344152690000001,0,1,0.0,0.0,0.0,67,36,99,Big-10,1,1,1,28,25,1,0,0,2000-09-16 13:00:00,2000,WI,M,0
Notre Dame,Purdue,21,"Notre Dame StadiumSouth Bend, IN ",1,80232,1,1,80232,1.0,0,1,0.0,0.0,0.0,76,52,13,Independent,0,1,1,23,21,0,1,0,2000-09-16 13:00:00,2000,IN,M,1
Colorado,Washington,99,"Folsom FieldBoulder, CO",1,50454,0,2,51655,0.9767495890000001,0,0,0.0,0.0,0.0,93,58,9,Big-12,1,0,0,14,17,0,0,0,2000-09-16 13:30:00,2000,CO,W,1
Florida State,North Carolina,2,"Doak Campbell StadiumTallahassee, FL",1,79287,2,0,80000,0.9910875,0,0,0.0,0.0,0.0,88,68,99,ACC,0,1,1,63,14,0,0,0,2000-09-16 15:30:00,2000,FL,S,0
Georgia Tech,Navy,99,"Bobby Dodd StadiumAtlanta, Georgia",1,46032,1,1,43719,1.0529060590000001,0,0,0.0,0.0,0.0,76,52,99,ACC,1,0,1,40,13,0,0,0,2000-09-16 15:30:00,2000,GA,S,0
Arkansas,Boise State,99,"War Memorial StadiumLittle Rock, AR",,54286,1,0,53727,1.010404452,0,0,0.0,0.0,0.0,79,44,99,SEC,1,0,1,38,31,0,0,0,2000-09-16 18:00:00,2000,AR,S,0
Kansas State,Ball State,7,"KSU StadiumManhattan, KS",,46916,2,0,50300,0.932723658,0,0,0.0,0.0,0.0,89,47,99,Big-12,1,1,1,76,0,0,0,0,2000-09-16 18:00:00,2000,KS,M,0
Missouri,Michigan State,99,"Faurot FieldColumbia, MO",1,55289,1,1,68174,0.8109983279999999,0,0,0.0,0.0,0.0,73,45,99,Big-12,1,0,0,10,13,0,0,0,2000-09-16 18:00:00,2000,MO,M,0
Kansas,UAB,99,"Memorial StadiumLawrence, Kansas",,28500,0,1,50000,0.57,0,0,0.0,0.0,0.0,80,55,99,Big-12,1,0,1,23,20,0,0,0,2000-09-16 18:00:00,2000,KS,M,0
Louisiana Tech,Stephen F Austin,99,"Joe Aillet StadiumRuston, Louisiana",,17320,1,2,30600,0.5660130720000001,0,0,0.0,0.0,0.0,83,59,99,WAC,1,0,0,31,34,2,0,0,2000-09-16 18:00:00,2000,LA,S,0
Buffalo,Connecticut,99,"UB StadiumAmherst, New York",,13678,0,2,25013,0.546835645,0,0,0.0,0.0,0.0,60,47,99,Mid-American,1,0,0,21,24,0,0,0,2000-09-16 19:00:00,2000,NY,N,0
Arizona,San Diego State,99,"Arizona StadiumTucson, AZ",1,44973,1,1,56002,0.803060605,0,0,0.0,0.0,0.0,102,71,99,Pac-12,1,0,1,17,3,0,0,0,2000-09-16 19:00:00,2000,AZ,W,0
Ohio,Tennessee Tech,99,"Peden StadiumAthens, OH",,21326,1,1,19000,1.122421053,0,0,0.0,0.0,0.0,66,42,99,Mid-American,1,0,1,52,14,0,0,0,2000-09-16 19:00:00,2000,OH,M,0
Texas A&M,UTEP,99,"Kyle FieldCollege Station, TX",,69184,1,1,80650,0.85783013,0,1,0.0,0.0,0.0,91,66,99,Big-12,1,0,1,45,17,0,0,0,2000-09-16 19:00:00,2000,TX,S,0
Toledo,Eastern Illinois,99,"Glass BowlToledo, OH",,27318,2,0,26248,1.040765011,0,0,0.0,0.0,0.0,64,43,99,Mid-American,1,0,1,31,26,0,0,0,2000-09-16 19:00:00,2000,OH,M,0
NC State,SMU,99,"CarterFinley StadiumRaleigh, North Carolina",,50034,2,0,51500,0.971533981,1,0,0.0,0.0,0.0,70,46,99,ACC,1,0,1,41,0,0,0,0,2000-09-16 19:00:00,2000,SC,S,0
NC State,Georgia Tech,99,"Carter-Finley StadiumRaleigh, North Carolina",1,49857,3,0,51500,0.9680970870000001,1,0,0.0,0.0,0.0,84,72,99,ACC,0,0,1,30,23,1,0,0,2000-09-21 20:00:00,2000,SC,S,0
Wisconsin,Northwestern,7,"Camp Randall StadiumMadison, WI",1,78597,3,0,76129,1.0324186579999999,0,1,0.01,0.0,0.0,58,50,99,Big-10,0,1,0,44,47,2,0,0,2000-09-23 11:00:00,2000,WI,M,0
Oklahoma,Rice,17,"Oklahoma Memorial StadiumNorman, OK",1,74794,2,0,72765,1.027884285,0,1,1.75,0.0,0.0,82,55,99,Big-12,1,1,1,42,14,0,0,0,2000-09-23 11:30:00,2000,OK,S,0
Boston College,Navy,99,"Alumni StadiumChestnut Hill, MA",1,42681,1,1,44500,0.959123596,0,0,0.0,0.0,0.0,67,52,99,ACC,1,0,1,48,7,0,0,0,2000-09-23 12:00:00,2000,MA,N,0
Kansas State,North Texas,4,"KSU StadiumManhattan, KS",,47926,3,0,50300,0.9528031809999999,0,0,0.01,0.0,0.0,80,48,99,Big-12,1,1,1,55,10,0,0,0,2000-09-23 13:00:00,2000,KS,M,0
UMass,New Haven,11,"McGuirk StadiumHadley, MA",,9122,1,1,17000,0.536588235,0,0,0.0,0.0,0.0,69,45,99,FCS,1,1,1,39,29,0,0,0,2000-09-23 13:00:00,2000,MA,N,0
BYU,UNLV,99,"Cougar StadiumProvo, Utah",1,60191,1,3,65000,0.926015385,0,0,0.51,0.0,0.0,64,39,99,MWC,0,0,1,10,7,0,0,0,2000-09-23 13:00:00,2000,UT,W,0
Indiana,Cincinnati,99,"Memorial StadiumBloomington, IN",,30075,0,2,52324,0.574784038,0,0,0.0,0.0,0.0,82,50,99,Big-10,1,0,1,42,6,0,0,0,2000-09-23 13:00:00,2000,IN,M,0
Miami (OH),Kent State,99,"Yager StadiumOxford, Ohio",,16298,2,1,30012,0.543049447,0,0,0.81,0.0,0.0,84,66,99,Mid-American,0,0,1,45,14,0,0,0,2000-09-23 14:00:00,2000,OH,M,0
Nebraska,Iowa,1,"Memorial StadiumLincoln, Nebraska ",1,78070,2,0,73918,1.056170351,0,1,0.0,0.0,0.0,53,47,99,Big-12,1,1,1,42,13,0,1,0,2000-09-23 14:30:00,2000,NE,W,0
Michigan State,Notre Dame,23,"Spartan StadiumEast Lansing, MI ",1,74714,2,0,72027,1.037305455,1,1,1.11,0.0,0.0,72,54,16,Big-10,1,1,1,27,21,0,1,0,2000-09-23 15:30:00,2000,MI,W,1
West Virginia,Miami FL,99,"Mountaineer FieldMorgantown, West Virginia",1,63735,2,0,63500,1.003700787,0,0,0.0,0.0,0.0,80,60,12,WAC,0,0,0,10,47,0,0,0,2000-09-23 15:30:00,2000,VA,S,1
Oregon State,San Diego State,99,"Reser StadiumCorvallis, OR",,32027,2,0,35362,0.905689723,0,0,0.0,0.0,0.0,69,44,99,ACC,1,0,1,35,3,0,0,0,2000-09-23 15:30:00,2000,OR,W,0
Virginia,Clemson,99,"Scott StadiumCharlottesville, VA",1,60695,2,1,61500,0.9869105690000001,0,0,0.04,0.0,0.0,73,51,11,ACC,0,0,0,10,31,0,0,0,2000-09-23 15:30:00,2000,VA,S,1
USC,San Jose State,9,"Los Angeles Memorial ColiseumLos Angeles, CA",,56545,2,0,92000,0.614619565,0,1,0.0,0.0,0.0,73,63,99,ACC,1,1,1,34,24,0,0,0,2000-09-23 15:30:00,2000,CA,W,0
Kansas,Southern Illinois,99,"Memorial StadiumLawrence, Kansas",,30500,1,1,50000,0.61,0,0,0.3,0.0,0.0,55,54,99,Big-12,1,0,1,42,0,0,0,0,2000-09-23 18:00:00,2000,KS,M,0
UCF,William Mary,99,"Citrus BowlOrlando, FL",,23164,1,2,65438,0.353983924,0,0,0.0,0.0,0.0,91,76,99,Independent,0,0,1,52,7,0,0,0,2000-09-23 18:00:00,2000,FL,S,0
Florida State,Louisville,2,"Doak Campbell StadiumTallahassee, FL",1,80741,3,0,80000,1.0092625,0,0,0.27,0.0,0.0,90,73,99,ACC,1,1,1,31,0,0,0,0,2000-09-23 18:00:00,2000,FL,S,0
Baylor,South Florida,99,"Floyd Casey StadiumWaco, Texas",,21157,1,1,50000,0.42313999999999996,0,0,0.0,0.0,0.0,99,81,99,Big-12,1,0,1,28,13,0,0,0,2000-09-23 18:00:00,2000,TX,S,0
Illinois,Michigan,17,"Memorial StadiumChampaign, IL",1,72524,3,0,70904,1.022847794,0,0,0.0,0.0,0.0,81,60,10,Big-10,0,1,0,31,35,0,0,0,2000-09-23 18:30:00,2000,IL,M,1
Buffalo,Bowling Green,99,"UB StadiumAmherst, New York",,8081,0,3,25013,0.323072003,0,0,1.32,0.0,0.0,72,51,99,Mid-American,0,0,1,20,17,0,0,0,2000-09-23 19:00:00,2000,NY,N,0
UTEP,Hawaii,99,"Sun Bowl StadiumEl Paso, Texas",,36637,1,2,51500,0.711398058,1,0,0.0,0.0,0.0,86,70,99,WAC,0,0,1,39,7,0,0,0,2000-09-23 19:05:00,2000,TX,S,0
Arkansas,Alabama,99,"Razorback StadiumFayetteville, AR",1,51482,2,0,50019,1.029248885,0,0,2.12,0.0,0.0,85,63,99,SEC,0,0,1,28,21,0,0,0,2000-09-23 20:00:00,2000,AR,S,0
SMU,Hawaii,99,"Cotton BowlDallas, TX",,15131,0,2,92100,0.164288817,0,0,0.0,0.0,0.0,65,48,99,WAC,0,0,0,0,20,0,0,0,2000-09-25 14:00:00,2000,TX,S,0
Texas A&M,Texas Tech,99,"Kyle FieldCollege Station, TX ",1,83644,2,1,80650,1.037123373,0,1,0.0,0.0,0.0,88,51,99,Big-12,0,0,1,33,15,0,1,0,2000-09-30 11:30:00,2000,TX,S,0
Arkansas,Georgia,99,"Razorback StadiumFayetteville, AR",1,51162,3,0,50019,1.022851316,0,0,0.0,0.0,0.0,77,45,25,SEC,0,0,0,7,38,0,0,0,2000-09-30 11:30:00,2000,AR,S,1
Rutgers,Miami FL,99,"Rutgers StadiumPiscataway, New Jersey",1,23782,2,2,41500,0.573060241,0,0,0.0,0.0,0.0,71,36,10,AAC,1,0,0,6,64,0,0,0,2000-09-30 12:00:00,2000,NJ,N,1
Michigan State,Northwestern,18,"Spartan StadiumEast Lansing, MI",1,73128,3,0,72027,1.015285934,1,1,0.0,0.0,0.0,73,48,99,Big-10,0,1,0,17,37,0,0,0,2000-09-30 12:00:00,2000,MI,W,0
Colorado,Kansas State,99,"Folsom FieldBoulder, CO",1,51896,0,3,51655,1.00466557,0,0,0.02,0.0,0.0,78,52,5,Big-12,0,0,0,21,44,0,0,0,2000-09-30 13:30:00,2000,CO,W,1
Alabama,South Carolina,99,"BryantDenny StadiumTuscaloosa, AL",1,83818,1,3,83818,1.0,0,1,0.0,0.0,0.0,85,55,23,SEC,0,0,1,27,17,0,0,0,2000-09-30 14:00:00,2000,AL,S,1
Oklahoma,Kansas,14,"Oklahoma Memorial StadiumNorman, OK",,74811,3,0,72765,1.028117914,0,1,0.0,0.0,0.0,86,55,99,Big-12,0,1,1,34,16,0,0,0,2000-09-30 14:00:00,2000,OK,S,0
California,Washington State,99,"California Memorial StadiumBerkeley, CA",,30500,1,2,75028,0.40651490100000004,0,0,0.0,0.0,0.0,77,55,99,Pac-12,0,0,0,17,21,0,0,0,2000-09-30 14:30:00,2000,CA,W,0
Southern Miss,Memphis,21,"M. M. Roberts StadiumHattiesburg, Mississippi ",1,30658,2,1,33000,0.929030303,0,0,0.0,0.0,0.0,85,50,99,CUSA,0,1,1,24,3,0,1,0,2000-09-30 14:30:00,2000,MS,S,0
Oregon State,USC,99,"Reser StadiumCorvallis, OR",,33775,3,0,35362,0.955121317,0,0,0.0,0.0,0.0,79,56,8,ACC,0,0,1,31,21,0,0,0,2000-09-30 15:30:00,2000,OR,W,1
Penn State,Purdue,99,"Beaver StadiumUniversity Park, PA",1,96023,1,4,93967,1.021880022,0,1,0.0,0.0,0.0,59,33,19,Big-10,0,0,1,22,20,0,0,0,2000-09-30 15:30:00,2000,PA,N,1
Boston College,Virginia Tech,99,"Alumni StadiumChestnut Hill, MA ",1,44500,2,1,44500,1.0,0,0,0.0,0.0,0.0,52,35,4,ACC,0,0,0,34,48,0,1,0,2000-09-30 15:30:00,2000,MA,N,1
UMass,Hofstra,11,"McGuirk StadiumHadley, MA",,10143,2,1,17000,0.596647059,0,0,0.0,0.0,0.0,57,31,99,FCS,1,1,0,36,51,0,0,0,2000-09-30 18:00:00,2000,MA,N,0
Hawaii,Tulsa,99,"Aloha StadiumHonolulu, HI",,36430,0,2,50000,0.7286,0,0,0.1,0.0,0.0,87,70,99,WAC,0,0,0,14,24,0,0,0,2000-09-30 18:00:00,2000,HI,O,0
