OBJECTID,PRECINCT_N,FACILITY_D,ACCESSIBLE,GIS_ID,WEB_URL,NAME,ADDRESS,ADDRESS_ID,WARD,X,Y,PORTION,ZIPCODE
78,53,Multi-Purpose Room,Y,plp_ 106,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Brightwood Education Campus,1300 NICHOLSON STREET NW,294515,Ward 4,397340.19,143625.7,Null,20011
79,70,Multi-Purpose Room,Y,plp_ 107,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Burroughs Elementary School,1820 MONROE STREET NE,294530,Ward 5,401867.9,140624.56,Null,20018
80,56,Multi-Purpose Room,Y,plp_ 108,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Truesdell Education Campus,800 INGRAHAM STREET NW,294497,Ward 4,397826.84,142896.55,Null,20011
81,117,Gym,Y,plp_ 109,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Turner Elementary School,3264 STANTON ROAD SE,294561,Ward 8,401708.96,131092.7,Null,20020
82,141,North Lobby,Y,plp_ 110,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Frank D. Reeves Municipal Center,2000 14TH STREET NW,239976,Ward 1,397189.88,138842.23,Null,20009
83,102,Meeting Room,Y,plp_ 111,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Dorothy I. Height/Benning Public Library,3935 BENNING ROAD NE (NEAR MINNESOTA AVENUE),295144,Ward 7,404530.91,136260.63,Null,20019
84,43,Recreation Area,Y,plp_ 112,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Park View Community Center,693 OTIS PLACE NW,295160,Ward 1,398148.9,140791.13,Null,20010
85,100,Auditorium,Y,plp_ 113,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Thomas Elementary School,650 ANACOSTIA AVENUE NE,294493,Ward 7,404154.01,137048.33,Null,20019
86,44,Shawel Room,Y,plp_ 114,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Ukrainian National Shrine,4250 HAREWOOD ROAD NE,288146,Ward 5,399700.52,141299.54,Null,20017
87,64,Gymnasium,Y,plp_ 115,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Lamond Recreation Center,20 TUCKERMAN STREET NE,296166,Ward 4,399286.43,144429.41,Null,20011
88,67,Auditorium - Accessible entrance adjacent  to the*,Y,plp_ 116,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Bunker Hill Elementary School,1401 MICHIGAN AVENUE NE,286131,Ward 5,401300.77,141569.11,Null,20017
